aba,mat
adzawo,barnacles
Nutrenu,glue
agakpewo,rocks
meliwo,ships
tɔdzisasrãwo,piers
goŋgoŋ,tenaciously
sãsãsã,far
adzaa,barnacle
Ƒumelã,seashells
ƑUMEBƆBƆWO,mollusks
sesẽwo,tremendous
sesẽƒea,strongest
dzedzeme,structure
gbadzɛtɔ,bivalve
lɔbɔetɔ,spiral
atiwo,wood
Abosra,Cuttlefish
Amadedeawo,Chromatophores
Hawaiitɔwo,Hawaiian
vɔvɔli,shadow
Alɔ,arm
Bosrã,Octopus
kabakaba,agile
Dodokpɔ,tests
Ƒumeha,Dolphin
YAMEƲU,plane
aʋala,winglet
Ðaa,infinity
Nuwɔwɔwo,creations
Ŋusẽkatãtɔ,Almighty
Nuwokatãtaƒola,Supreme
amenyenye,personality
taɖodzinu,aim
taɖodzinuwo,goals
Ke boŋ,Rather
gbɔgbɔe,spirit
nuwuwu,end
lɔ̃ ,loves
 nufiafia,concept
masemase,misunderstanding
gaƒoƒo,hour
vovovowo,various
didime,period
ɣeyiɣi,time
akpe,thousands
ƒãa,Evidently
Britaintɔ,british
agbeŋutinunyala,biologist
bliboa,whole
Romatɔwo,Romans
etsɔme,future
ɣaɣla,hidden
gãtɔ,most
GƆMEDZEDZEA,beginning
Nɔnɔme,form
viviti,darkness
kekeli,light
ŊKEKE,day
alilikpoawo,clouds
vovototo,difference
alili,expanse
tsidzudzɔ,vapor
dometsotso,space
ƒuƒui,dry
miemiewo,vegetation
ETƆ̃LIA,third
Yame,atmosphere
ƒomevi,species
dziƒonu,heavenly
keklẽwo,luminaries
Ɣe,sun
ɣleti,moon
ATƆ̃LIA,fifth
ENELIA,fourth
dzodzoe,flying
godzilãwo,land animals
ADELIA,sixth
sueawo,small
gãwo,large
eve,couple
Xawa,Eve
nɔnɔmetɔtrɔ,evolution
Ɣletiviŋununyala,astronomer
Wɔnuku,Wonder
atɔmwo,atoms
Nɔnɔme,characteristic
tɔxɛ,unique
piramid,pyramid
adodoea,perfect
ɖeɖe,only
GRAFAIT,GRAPHITE
nuŋlɔti,pencils
Ɣletivi,star
Ɣletiviwo,stars
Nyatakaka,information
ŋlɔla,writer
Xotutu,mythology
sue,little
NUŊLƆÐI,WRITING
ŋutɔwoe,own
ɣletinyigba,extraterrestrial
yamenutowo,space
Kamedede,Exercise
ŋutilã,body
Alɔ̃dɔdɔ,sleep
ahasesẽ,alcohol
tsitsi,older
Tsri,avoid
Ɣeaɖewoɣi,sometimes
Mɔkpɔkpɔ,Hope
Kukuawo,dead
Nya,news
nɔvinyɔnu,sister
Betania,Bethany
nɔvinyɔnuwo,sisters
Xlẽ,read
Anyie,dust
míaƒe,us
akpa,part
tamesusuwo,thoughts
dzo,fire
funyafunya,torment
Ðe,Does
ƒãa,clearly
alakpa,false
Fuwɔwɔ,tormenting
Nɔnɔme,condition
Yeremiya,Jeremiah
mawudɔla,angels
vɔ̃ɖiwo,wicked
Paradisoa,paradise
tsitre,resurrected
yɔdowo,grave
tsitretsitsia,resurrection
amenuveve,kindness
NUMEKULAWO,researchers
VEVE,pain
nyuitɔ,best
aɖaŋuɖola,adviser
blema,ancient
aɖaŋuɖoɖowo,advices
Afɔku,Disaster
AGBALẼWO,PUBLICATIONS
Dzudzɔ,Smoke
ya,air
ɔfis,office
dziƒoxɔ,skyscraper
kɔkɔ,high
amedzidzedze,attack
tudada,shooting
nyadzɔdzɔgbalẽwo,news
hafi,before
dzɔɣi,during
dzadzraɖo,preparation
nuhiahiã,supplies
veviwo,emergency
,
kpuie,nearest
Ðewohĩ,Maybe
dɔwɔhatiwo,coworkers
atrakpuiawo,stairs
dzudzɔ,smoke
Gblẽ,Leave
gli,wall
xexe,outside
kpekpeɖeŋunadɔwɔlawo,rescuers
ahom,storm
ʋukuku,driving
tsimezɔzɔ,wading
Afɔku,dangers
meta,meter
tsiɖɔɖɔ,flood
dumegãwo,authorities
enumake,immediately
dzo,leave
geɖe,most
xɔ̃wòwo,friends
nanya,know
afi,where
Na,Let
yatoƒewo,ventilation
ʋɔtruwo,doors
fesrewo,windows
nyadzɔdzɔwo,news
Se,Listen
DEDIE​,safe
aɖaŋuɖoɖo,recommendations
siawo,following
ametakpɔnuwo,protective
Nɔnɔme,circumstances
Nɔnɔme,attitude
ga,money
lãmesẽ,health
nyateƒe,reality
ATIKE,MEDICINE
lododo,proverb
Dzi,heart
bubui,other
taɖodzinu,goal
susu,thoughts
dɔdzikpɔlaa,supervisor
vodada,errors
ŋutetewo,effort
gbeɖe,never
dɔ,job
kutri,hard
gbeɖegbeɖea,never
dɔtɔ,boss
akpa,aspects
vodada,mistakes
nyuie,better
ŋunye,me
dzidzedze,capable
dɔtɔ,employer
Blanuilédɔ,loneliness
eɖokui,herself
eɖokui,himself
Melɔ̃na,refuses
magblẽ,waste
ɖe,on
naneke,nothing
agbagba,effort
concerted,vevie
Sikasededea,Golden Rule
nyuiwɔwɔ,good
nyui,reward
xɔ̃wò,friend
ƒomedodo,relationships
Ðewohĩ,probably
xaxa,distress
ŋusẽ,strength
Dziɖeleameƒo,Pessimism
nɔnɔmea,situation
kpekpeɖeŋu,help
ɖevime,childhood
teƒe,place
yia,to
teƒe,place
Woʋuna,moved
dziɖeleameƒonuwo,downward
nɔnɔme,traits
nenema,way
mase,understand
madeamedziwo,negative
Efesotɔwo,Ephesians
tamesusu,mental
mawunyakpukpui,verse
sia,that
nɔnɔmewo,outlook
tɔtrɔwo,change
NYUIWO,POSITIVE
dzidzɔ,cheerful
ŋkekewo,days
tiatiaa,choice
nutete,tumor
nuƒoƒo,speech
yeƒe,his
Mɔ,way
etsɔme,long-term
dziɖeleameƒonuwo,discouraging
mɔxenu,roadblock
Srɔ̃ ,Learn
nunana,giving
wu,than
nuxɔxɔ,receiving
Dɔwɔwɔwo,Acts
dzidzɔ,satisfaction
Filipitɔwo,Philippians
nuhiahiãwo,needs
ŋutɔwo,own
míawo,our
nàƒã,sow
nanewo,certain
manyomanyowo,negative
Seselelãmewo,Emotional
DZIKU,ANGER
kalẽtɔ,mighty
nyitsɔ,Modern
nàɖu,control
gbɔdzɔgbɔdzɔ,weakness
gli,wall
ŋutɔŋutɔ,practical
Mɔ,way
AKPEDALA,GRATITUDE
akpedalawo,thankful
KPƆKPLƆYIƉEME,Preamble
KPEƉOƉZINYA,Declaration
ABLƆƉEVINYENYE,Rights
nuteƒewɔwɔ,justice
ŋutiƒaƒa,peace
ablɔɖemenɔnɔ,freedom
amegbetɔƒomea,human family
sɔsɔe,equal
Esi,Whereas
hlɔ̃nuwɔwɔ,barbarous acts
dzitsinya,conscience
ŋɔdzidodoname,fear
hiãkame,want
ameteteɖeto,tyranny
funyafunyawɔwɔ,oppression
aglãdzedze,rebellion
vevie,essential
xexemedukɔwo,nations
dome,between
kadodo,relations
Ƒoƒuawo,united
Xexeme Dukɔ,nations
hadomegbenɔnɔ,social
dukɔ,States
ŋkuléle,observance
takpɔkpɔ,realization
adzɔgbeɖeɖe,pledge
sia,this
bliboe,full
TAKPEKPEGÃ,General Assembl
habɔbɔ,organ
xexeame,society
Kpeɖodzinya,Declaration
Xɔɖeasinyigba,territories
Wodzi,are born
ablɔɖeviwoe,free
gomekpɔkpɔ,rights
bubu,dignity
Susu,reason
amesiame,Everyone
ablɔɖevinyenye,freedoms
vovototodeameme,distinction
dzɔtsoƒe,race
gbegbɔgblɔ,language
xɔsehamenɔnɔ,religion
dunyahehamenɔnɔ,political
ɖoƒe tɔxɛ,other status
Gawu la,Furthermore
manɔɖokuisi,independent
ablɔɖe,liberty
dedienɔnɔ,security
kluvie,slave
awɔbae,servitude
kluvinyenye,slavery
kluvisitsatsa,slave trade
funyafunya,torture
hlɔ̃nu,inhuman
afisiafi,everywhere
se,law
amegbetɔ,person
abe,as
sɔ,equal
taʋiʋli,protection
vovototomanɔmee,any discrimination
ʋɔnudrɔ̃ƒewo,tribunals
ɖɔɖɔɖowɔwɔ,remedy
dukplɔse,constitution
akpasesẽtɔe,arbitrary
gaxɔme,jail
dɔdeasiwo,obligations
hlɔ̃nya,criminal
adodoe,impartial
vodada,offence
agɔdzelae,guilty
gbetadukɔ,international
kadodonyawo,correspondence
liƒowo,borders
woadzo,leave
dukɔ,country
eƒe,his
Dumevinyenye,nationality
akpasesẽ,arbitrarily
dzrovinyenye,nationality
alo,or
mɔxenu,limitation
srɔ̃ɖeɖe,marriage
didi,consent
gɔmeɖokpe,fundamental
dzɔdzɔme,natural
amegbetɔƒomea,society
nunɔamesi,property
adzame,private
gaglãgbe,public
susuwɔwɔ,opinions
nyagbeƒãɖeɖe,informations
liƒowo,frontiers
akplamatsee,interference
Takpekpe,assembly
habɔbɔ,association
dziɖuɖu,government
ametiatia,chosen
akɔdada,election
kpekpeɖeŋu,service
dukɔmeviwo,people
ŋusẽ,authority
sɔti,basis
adzame,secret
akɔdada,voting
mɔnu,procedures
ɖekawɔwɔ,co-operation
hadomegbenɔnya,social
dekɔnunyawo,cultural
dumevi,citizen
tutuɖo,development
amemaxɔmaxɔ,unemployment
Fetu,pay
eya ŋutɔ,himself
dzidzemetɔe,worthy
gbɔɖemee,rest
mɔkeke,leisure
dzidzemetɔe,adequate
Agbenɔnɔ,living
nutata,clothing
xɔtutu,housing
atikenya,medical care
wɔametɔ,disability
beléle,care
tɔxɛ,special
kpekpeɖeŋu,assistance
hehe,education
hehexɔxɔ,education
femaxee,free
gɔmedzesukuwo,Elementary school
aɖaŋudɔwo,Technical
dɔwɔna,professional
bubudede,respect
nugɔmesese,understanding
dzidodo,tolerance
xɔlɔ̃wɔwɔ,friendship
dukɔwo,nations
xɔseha,religious groups
nuwɔnawo,activities
viwo,children
ƒomevi,kind
gomekpɔkpɔ,participation
aɖanudɔwɔnawo,arts
agbalẽŋɔŋlɔ,literary
hakpakpa,artistic
nutovɛ,material
blibo,fully
ŋgɔyidɔwo,development
amegbetɔnyenye,personality
dɔwɔwɔwo,exercises
sidzedze,recognition
tomefafa,morality
ameha,group
ya,but
ya,air
ya,wind
ya,gas
yaa,tasteless
yame,atmosphere
yame,weather
yameʋu,aeroplane
yameʋudzefe,airport
Yawoɖa,thursday
yayrá,blessing
yevú,european
yevú,white person
yevúte,potato
Yevúwode,Europe
yéye,new
yéye,fresh
yi,to go
yí,machet
yi nú dzí,to continue
yibɔ,black
yibɔɔ,black
yiyi,departure
yome,back
yome,behind
yòò,ok
yòò,alright
yɔ,to call
yɔ,to name
yɔ,to squeeze
yɔ nkume,unpleasant face 
yrá ame,to bless someone
yrɔ,to wither
zã,night
zã,in plenty
zã,in abundance
zã dó,night falls
zãtíƒè,midnight
ze,pot
zi, antelope
zi nenie,how many times
zi ɖoɖoé,to keep silent
zi etɔ gbe ɖeká,three times a day
zi gbãtɔ,first time
zi gbãtɔ,the first time
zi kpí,to refuse to speak
zikpui,seat
zikpui,stool
zɔ,to walk
zɔ mɔ,to travel
zɔ mɔ,to go on a journey
zɔ mɔ tó,to travel through
zɔzɔ,walking
zrɔ,to be smooth
zɔzrɔe,smooth
zu,to become
abati,bed
ablegɔ,chair
Ablotsi,Europe
ablɔ,street
Ablɔɖe,freedom
abolo,bread
abɔ,arm
abɔta,shoulder
ade,six
adela,hunter
adido,baobab
adre,seven
adzɔ,fee for services
adzɔ,duty on goods
adzɔnu,goods
adzɔnu,wares
aɖabaƒoƒo,second
aɖabaƒoƒo,twinkle of an eye
aɖaka,box
aɖuba,pawpaw
afã,half
afɔ,foot
afɔ,leg
afɔkpa,shoe
afɔkpa,sandal
afɔwui,socks
afɔwui,hose
afe,home
afe,hometown
afe,homeland
afi,here
afika,where
afima,there
Aƒenɔ,Mrs
Aƒenɔ,Lady
Aƒetɔ,Mr
Aƒetɔ,Sir
Aƒetɔ,Lord
agba,load
agbagbadzedze,endeavour
agbagbadzedze,achievement
agbalẽ,book
agbalẽ,paper
agbalẽ,letter
agbalẽxexlẽ,reader
agbalẽxexlẽ,reading
agbalẽxleƒe,library
agbalẽxleƒe,reading room
agbalẽxlela,reader
agbatsɔla,porter
agbatsɔla,carrier
agbatsɔʋu,lorry
agbatsɔʋu,truck
agbatsɔʋu,goods transport vehicle
agbe,life
agbeli,cassava
agbenɔnɔ,way of life
agble,farm
agbledede,farming
agbledeƒe, farming place
agbledela,farmer
agblekotoku,farmer's bag
agblemenu,crop
agblemenuku,farm product
agblemɔ,path leading to a farm
agblenu,hoe
agblexɔ,farm house
aha,alcoholic drink
ahom,storm
ahuhõe,mirror
akaɖi,lamp
aklɔ,spear
akɔnta,mathematics
akɔnta,calculation
akɔnta,to reckon
akɔta,chest
akpa,small fish
akpa,too
akpe,thousand
akpe,thanks
akploʋu,canoe
alafa,hundred
alẽ,sheep
ale,so
ale,and so
aleke,how
alẽkpɔ,sheep pen
ali,waist
ame,person
amebala,cheater
amedzro,stranger
amedzrodzeƒe,hotel
amedzrodzeƒe,motel
ameɖokuiwuwu,suicide
ameƒoƒe, beaten place
ameƒoƒo,beating
ameƒoƒo,flogging
ameha,crowd
ameka,who
amekpekpe,an invitee
amekuku,dead body
amekuku,dead person
amesi,whom
amesi ƒe,whose
amesiame,everybody
ametsitsi,elder
ametsitsi,old person
amewudzo,kill juju
ameyibɔ,black person
ameyibɔ,black race
Amu,Volta River
Amuta,Volta Lake
Anago,Yoruba
Anagonyigba,Yorubaland
anyiehe,north
anyigba,earth
anyigba,land
anyigba,country
anyikpe,brick
aŋgba,leaf
aŋuti,orange
asabu,cast net
asi,market
asi,wifen
asi,hand
asieke,nine
asigbe,market day
asisi,customer
asitsala,trader
asiwui,glove
asrafo,soldier
atadidi,trousers
atakpui,shorts
ati,tree
atiglinyi,elephant
atike,medecine
atike,drug
atikedzraƒe,pharmacy
atikedzraƒe,drugstore
atikeƒoƒoe,pill
atikeƒoƒoe,tablet
atikewɔƒe,hospital
atikewɔƒe,clinic
atikewɔla,doctor
atikpala,carpenter
atikpo,log
atɔ,nest
atɔ̃,five
atsu,husband
atsu,male
ave,forest
avɔ,cloth
avɔ,material
avu,dog
awutewui,underwear
atikedzraƒe,pharmacy
atikedzraƒe,drugstore
axlɔ̃e,mongoose
ayi,beans
azi,egg
azi,nuts
azɔ̃,now
ba ame,to cheat someone
be,to hide
bena,that
bena,to say that
bi,to burn
bia,to ask
bia,to request
bia,to demand
bia gbe,to question someone
bla,to tie
blaade,sixty
blaadre,seventy
blaasieke,ninety
blaatɔ̃,fifty
blaene,forty
blaenyi,eighty
blaetɔ̃,thirty
blaeve,twenty
blema,ancient times
bli,corn
bli,maize
blibo,whole
blibo,the lot
Blu,Twi language
Blu,Akan language
Blume,Twi speaking area
Blume,Akan speaking area
bɔ nya,to narrate
bɔ nya,to tell
bɔbɔ,to be soft
bɔbɔ,to be easy
bɔbɔe,easily
bɔbɔe,softly
Braɖa,Tuesday
bu,to calculate
bu,to reckon
bu,to lose
bu akɔnta,to render account
bu ta me,to think
bubu,respect
bubu,other
bubu,another
da,snake
dá akpé,to thank
da asabu,to cast a net
da dɔ,to treat
da dɔ,to cure
da gbe,to treat
da gbe,to cure
da gbe le ame nú,to cure someone
da tú,to shoot
da tú,fire a gun
daá,elder sister
bu,to lose
dadá,mother
dadáá,his mother
dadáá,her mother
dadanye,my mother
danye,my mother
dadáwo,your mother
dawo,your mother
de,to have been
de,to arrive
dè,native land
dè,homeland
dé,palm
de agble,to farm
de súku,to go to school
dehá,palm-wine
dekú,palm nut
denyígbá,homeland
denyígbá,nativeland
deti,palm-tree
di,to wish to
di,to want
di,to look for
dí vévié,to wish for strongly
dí vévié,to yearn for
didi,to be long
didi,long
didi,wish
do,hole
do,pit
do ame kpɔ,to examine someone
do ame kpɔ,to test someone
dó awu,to dress up
dó dzi ɖé ame ŋu,to trust someone
dó dzo,to set a fire
do gbe ɖá,to pray
do gbe na ame,to greet someone
do ɣli,to shout
do go,to go out
dó go,to meet
dó mɔ ame,to set one on an errand
dó ŋgbè,to promise
do ŋusẽ ame,to encourage someone
dó sɔ,to ride a horse
dó vɔvɔ~ ná ame,to frighten someone
dome,between
dome,among
dɔ,palm nut
dɔ,work
dɔ,job
dɔ alɔ~,to sleep
dɔ ame,to send someone
dɔ ɖe,to send to
dɔ wu ame,to be hungry
dɔdalá,doctor
dɔdalá,healer
dɔdɔ,sending
dɔlélá,patient
dɔlélá,sick person
dɔlélé,sickness
dɔlélé,disease
dɔme,stomach
dɔme le ame ɖùm,to have stomachache
dɔmenyótɔo,kind-hearted person
dɔnɔ,sick person
dɔnɔ,patient
dɔwɔkplɔ~,desk for work
dɔwɔkplɔ~,table for work
dɔwɔlá,worker
dɔwɔwɔ,work
dɔwɔwɔ,job
dɔwɔwɔ,working
du,town
du,village
duƒuƒu,running
dukɔ,a people
dukɔ,a nation
dumevi,citizen
dumevínyényé,citizenship
Dzama,German
Dzamawó,the Germans
dzatá,lion
dze,to buy
dze,salt
ɖa nú,to cook something
ɖasefó,witness
ɖa nú,to cook something
ɖasefó,witness
ɖe ame ɖe xéxé,to outdoor someone
ɖe dzɔ,to fetch fire
ɖe gbe ná ame,to command
ɖe gbe ná ame,to order
ɖe mɔ ná,to allow
ɖe mɔ ná,to permit
ɖe tɔmèlã,to fish
ɖe vi,to yield profit
ɖeɖi té ŋú,to be tired
ɖeɖitéameŋú,tediousness
ɖeɖitéameŋú,tiredness
ɖeká,one
ɖekákpùì,youth
ɖekákpùì,young man
ɖéké ... o,no
ɖéké ... o,none
ɖesíàɖe,every
ɖesíàɖe,each
ɖetugbuí,a young woman
ɖetugbuí,a girl
ɖeví,child
ɖevíme,childhood
ɖevitɔ,the younger one
ɖevíwù,children's clothe
ɖi,to be cheap
ɖi tsa,to go for a walk
ɖiɖiƒé,distant place
ɖó,to arrive at
ɖó aɖaŋu ná ame,to advise someone
ɖó ame fia,to crown someone as king
ɖó dze,to converse
ɖó nyà ŋú,to reply
ɖó nyà ŋú,to answer
ɖo ŋkeke,to set a date
ɖo ŋkú nú dzí,to remember something
ɖó tà,to go towards
ɖó tó,to listen
ɖó tó,to obey
ɖó ʋu,to travel by vehicle
ɖoɖó,order
ɖoɖó,arrangement
ɖome,underneath
ɖome,under
ɖɔ,dragnet
ɖɔ azi,to lay egg
ɖu,gun powder
ɖu fia,to reign
ɖú ɣe,to dance
ɖu nú,to eat something
ɖu nú,to bite something
ɖusí,right
ɖusí,right hand
nuɖusi,right
nuɖusi,right hand
ẽ,yes
égbe,today
égbegbe,nowadays
ékèmá,then
élabéná,because
ene,four
énùénù,often
énùénù,from time to time
énùmáké,immediately
énùmáké,at once
ènyí,eight
Éŋlèsime,English-speaking area
ésià tà,because of this
ésià tà,due to this
étèƒé médidi o,not long after
étèƒé médidi o,soon
etõ,three
etõlíá,third
etõlíá,the third one
etsɔ,yesterday
etsɔ,tomorrow
eve,two
Eʋeawo,Ewe people
Eʋedukɔ,Ewe nation
Eʋegbe,Ewe language
evelíá,second
evelíá,the second
Eʋeme,Ewe-speaking area
Eʋenyígbá,land of the Ewe people
Eʋenyígbá,Eweland
èwó,ten
éyàtà,therefore
éyè,and
ẽ,yes
fá,to be cold
fá,to be cool
fa aví,to weep
fa aví,to cry
fa avi vévíé,to weep bitterly
fa avi vévíé,to cry bitterly
fa dzidzɔví,to shed tears of joy
fáfá,cold
fáfá,cool
fáfɛ,cool
fáfɛ,cool
fe,debt
fé,to play
fèdzígbàlẽ,receipt
fefé,play
fefé,game
feféƒé,playground
fefela,player
fésrè,windows
fi,theft
fi fi,to steal
fi fi,to pilfer
fia,emperor
fia,chief
fia,king
fíã,to burn
fíá nú,to teach somebody
fiàfì,thief
fìàfìtɔ,thief
fìàkúkú,crown
fìàsã,palace
fíásémènɔlá,storekeeper
fíásémènɔlá,shopkeeper
Fíɖá,Friday
fiẽ,evening
fiẽ ɖó,evening falls
fífíá,presently
fífíá,now
fífíá,soon
fìfìlá,a thief
fífílaa,right now
fífílaa,just now
fò,elder brother
fòfó,father
fɔ,to collect
fɔ,to find
fɔ,to get up 
fɔ fú,to be pregnant
fufu,fufu dish
fùkpéɣiwó,hard times
fùkpéɣiwó,times of suffering
fuu,in large quantities
fuu,a lot
fùwɔwɔ àmè ɖókùì,worrying oneself
ƒẽ,year
ƒe atɔ sɔŋ,for five years
ƒe èwó nyé ési,since ten years
ƒlatsà,rough
ƒlatsà,coarse
ƒle nú,to buy 
ƒo,surface
ƒo ame,to strike someone
ƒo ame,to beat someone
ƒo ƒú,to pack
ƒo ƒú,to put together
ƒo nù,to talk
ƒo nù,to speak
fɔ fú,to be pregnant
ƒo ʋu,to beat a drum
ƒòè,younger sister
ƒome,family
ƒomèví,kind of
ƒomèví,type of
ƒu,sea
ƒú du,to run
ƒu tsi,to swim
ƒuta,coast
ƒuta,beach
ƒuta,shore
gã,metal
gã,money
gã,large
gã,big
gã,huge
gagbá,metal plate
gagbá,metal pan
gaké,but
gaŋkúí,eye glasses
gasɔ,bycicle
gatsí,spoon
gàwú la,more over
gaxɔ,prison
gaxɔ,jail
gazé,metal pot
gbã,to break
gbã,the first
gbã,firstly
gbã,first
gbaɖegbe,once upon a time
gbaɖegbe,long ago
gbadzaa,flat large surface)
gbadzɛ,flat small surface)
gbãtɔ,first
gbe,language
gbe,voice
gbe,day
gbé,to refuse
gbe dámà,green grass
gbe ɖeká,once upon a time
gbe ɖeká,one day
gbe má gbe,that day
gbedada,curing
gbedada,healing
gbedàdzò,healing juju
gbedàlá,healer
gbeɖé,never
gbedóxɔ,cathedral
gbedóxɔ,chapel
gbegblẽ,bad
gbegblẽ,spoiled
gbehà,swine
gbehà,wild pig
gbesíágbe,everyday
gblẽ,to spoil
gblẽ ɖé,to leave behind
gblɔ,to tell
gblɔ,to narrate
gblɔ,to say
gbɔ,to breathe
gbɔ,to return
gbɔ,to come back
gbɔ,goat
gbɔgbɔ,breath
gbɔgbɔ,spirit
gbɔgbɔ,ghost
gbɔgbɔvɔ,evil spirit
gé,to fall from a height
gé ɖé,to enter
geɖee,much
geɖee,a lot of
geɖee,many
geɖémèƒé,entrance
gegéɖéme,entry
gegéɖéme,entering
gli,wall
globoo,large and very deep
glo,to be crooked
go,gourd
gódóó,by all means
gódóó,usually
golo,sack
golo,bag
golo,pocket
gomelã,tinned meat
gɔme,under
gɔme,underneath
hã,pig
hã,also
hã,too
haɖé ... o,not yet
háfí,before
haho,communal
haho,common to all
hahodɔ,community work
hamènɔlá,member
háyá,to recover
háyá,to get well
he,reddish brown
he,light brown
he nú vɛ,to bring about
he nú vɛ,to result
he ɖo,to drag a net
he tó ná ame,to punish someone
hede nyuie,goodbye
hede nyuie,farewell
hede nyuie,safe journey
hɛ,knife
híá,necessary
híá,to need
kã ɖé nú dzí̃,to be sure
kã ɖé nú dzí̃,to be certain
kábá,quickly
káfú ame,to congratulate
káfú ame,to praise
kàkà ɖé,to spread over
kàkà ɖé,to scatter
kakɛ,a piece
kakɛ,a bit
kásíá,suddenly
kátã,whole
kátã,all
ké,but
ké,same
ké,sand
ké bong,but rather
ke ɖé nú ŋú,to find by accident
ke ɖi,to doubt
ke ɖi,to argue
ke ɖi,to compete
ke nu,open the mouth
ke nu,to say something
keke,to be broad
keke,to be wide
kèkè,broad
kèkè,wide
kemɛ,that yonder
kemɛwó,those yonder
kéŋkéŋ,entirely
kéŋkéŋ,completely
kéŋkéŋ,altogether
kèsìnɔtɔ,rich person
kétéke,train
klã,to part company
klã,to separate
kluvi,male slave
ko,only
ko alɔgbɔnui,to smile
ko nú,to laugh
kòkló,fowl
koklozi,egg
kokogblè̃,cocoa farm
koko-oko,at all costs
koko-oko,by all means
kóŋ,indeed
kóŋ,really
kóŋ,extremely
kosĩ,female slave
kòtókó,porcupine
kòtòkú,sack
kòtòkú,pocket
kòtòkú,bag
kɔ,to be without sin
kɔ,to be clean
kɔ,to be neat
kɔ,neck
kɔ,to be high
kɔ,to be tall
kɔ aha ɖí,to pour libation
kɔ ɖí,to pour into
kɔ gbe dzi,to raise one's voice
kɔ gbe dzi,to speak up
kɔƒé,cottage
kɔƒé,hamlet
kɔƒé,village
Kɔfí,boy born on Friday
kɔkɔ,high
kɔkɔ,tall
Kɔmla,boy born on Tuesday
Kɔsí,boy born on Sunday
kpa nú,to carve
kpakpaxe,duck
Kpalime,Ewe town in Togo
Kpando,Ewe town in Ghana
kpɔ,to look
kpɔ,to see
kpɔ ... o,never before
kpɔ ... o,never
kpɔ ame ɖá,to visit someone
kpɔ ame dzí,to look after someone
kpɔ dzidzɔ,to be happy
kpɔ dzidzedze,to succeed
kpɔ ga,to be rich
kpɔ mɔ ná,to look forward to
kpɔ mɔ ná,to expect
kpɔ nú duu,to look steadily
kpɔ nú dzí,to look after something
kpɔ nú gã,to look questionabli
kpɔ núblánúí ná ame,to have mercy
kpɔ núblánúí ná ame,to have pity on someone
kpɔtɔɔ,muddy
kpé,stone
kpé,rock
kpé,to meet
kpé ame,to meet someone
kpé ame,to invite
kpé ɖé ame ŋú,to help someone
kpé tà,to meet
kpéɖéŋútɔ,assistant
kpéɖéŋútɔ,helper
Kpédze,Ewe town in Ghana
kpékpé,heavy
kpekpeme,weight
kpétó,cave
kplá así tɔ,to embrace
kplé,and
kplé,with
kplefuu,foggy
kplefuu,greyish
kplefuu,misty
kplɔ,to lead
kplɔ,to accompany
kplɔ,table
kplɔ nú,to sweep something
kplɔlá,leader
kpui,low
kpui,to be short
kpuiƒé,nearby place
Krachi,name of a town
krànté,cutlass
krànté,matchet
kú,death
kú,to die
kú aha ná ame,to serve a drink
ku kɔ,to sling on the neck
ku tsi,to fetch water from a pot
kú,pill
kú,tablet
kú,seed
Kuɖa,Wednesday
kuku,hat
kúráá,quite
kúráá,fairly
kúráá,rather
kútsétsé,fruit
kútú,orange
kúvíá,laziness
kúvíátɔ,lazy person
kwasiɖa,Sunday
kwasiɖa,week
kɔsiɖa,week
kɔsiɖa,Sunday
lã,flesh
lã,meat
lã,animal
lãɖeɖe,fishing
lãɖelá,fisherman
lãdzráƒe,meat shop
lãdzrálá,meat seller
lãkɔ,lump of meat
lãkɔ,large piece of meat
lãme,within the body
lãme gblẽ,to be sick
lãme gblẽ,to be indisposed
lãme sẽ,to recover from illness
lãme sẽ,to get healthy
lãnyilá,livestock keeper
lãnyinyi,animal husbandry
lãtsòlá,butcher
lé,to hold
lé,to catch
lẽ,bridge
le así me,to be in someone's hands
le ɖoɖó nù,to be in order
lé dɔ,to be ill
lé nɔvísí,to cooperate
lé ŋkú ɖé nú ŋú,to watch
lé ŋkú ɖé nú ŋú,to observe
le tsi,to take a bath
légbà,idol
li,to exist
li,being present
lolo,large
lolo,fat
lolo,to be big
lòlò,large
lòlò,big
lòlò,fat
Lome,capital of Togo and the largest Ewe town
lɔ,to agree
lɔ ame,to love someone
lɔ ame,to like someone
lɔ gbe,to exchange greetings
lɔƒɔ,towards
lɔƒɔ,vicinity of
lɔƒɔ,direction of
lɔlɔ dzo,juju used for inducing love
má,that
má mɔ,to part company
má nú,to share
má nú,to divide
màmá,grandmother
màmáyɔví,grandchild
mamlee,rest
mamlee,last
mamlee,residue
máwó,those
Máwú,God
Máwúgã,Great God
mé,inside
mé,in
mé légbà,to model an idol
mé légbà,to mould an idol
mégànyé,it is no longer
mégànyé,it is no more
mègbé,back
mègbé,after
mègbé,behind
mi nú,to swallow
mi nú,to hold
miã,left
miabɔtà,left shoulder
mlɔ,to lie
mlɔ,to lay
mlɔ anyi,to lie down
mlɔ anyi,to lie in bed
mlɔétɔ,the last
mli,to roll over
mo,face
mɔ,road
mɔ,path
mɔ,way
mɔ,fortress
mɔ,castle
mɔ,prison
mɔɖeɖe,permission
mɔɖeɖe,permit
mɔkeke,holiday
mɔli,rice
mɔta,on the road
mɔta,on the way
mɔzɔzɔ,travel
mɔzɔzɔ,journey
mɔzɔzɔ,trek
mu,to fall
